Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2019,1,01/25/2019,Sofft,F,Maretto,Grey,SF0021608,M,085,Sh,Alecs Shoe Store,2
2019,1,01/25/2019,Sofft,F,Maretto,Grey,SF0021608,M,095,Sh,Alecs Shoe Store,1
2019,1,01/30/2019,Sofft,F,Maretto,Black,SF0021601,M,110,Sh,Richard's Shoes,1
2019,2,02/14/2019,Sofft,F,Maretto,Black,SF0021601,M,065,Sh,Von Maur Inc,15
2019,2,02/20/2019,Sofft,F,Maretto,Grey,SF0021608,M,065,Sh,Eva Bryn Shoetique,1
2019,2,02/21/2019,Sofft,F,Maretto,Black,SF0021601,M,080,Sh,Sikes & Kohn,2
2019,2,02/21/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,070,Sh,Dillards Department Store Inc,35
2019,2,02/21/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,075,Sh,Discount Shoe Store Dba/,2
2019,2,02/21/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,080,Sh,Discount Shoe Store Dba/,2
2019,2,02/21/2019,Sofft,F,Maretto,Grey,SF0021608,M,060,Sh,Dillards Department Store Inc,108
2019,2,02/21/2019,Sofft,F,Maretto,Grey,SF0021608,M,090,Sh,Dillards Department Store Inc,170
2019,2,02/21/2019,Sofft,F,Maretto,Grey,SF0021608,M,090,Sh,Discount Shoe Store Dba/,3
2019,2,02/21/2019,Sofft,F,Maretto,Grey,SF0021608,M,100,Sh,Williams Brothers,1
2019,2,02/22/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,070,Sh,Whim Shoe Shop Llc,1
2019,3,03/08/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,095,Sh,Zappos Merchandising Inc,5
2019,3,03/08/2019,Sofft,F,Maretto,Grey,SF0021608,M,090,Sh,Zappos Merchandising Inc,9
2019,3,03/08/2019,Sofft,F,Maretto,Grey,SF0021608,M,110,Sh,Zappos Merchandising Inc,4
2019,3,03/20/2019,Sofft,F,Maretto,Black,SF0021601,M,065,Sh,Scioto Shoe Mart Inc,1
