Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2018,4,04/30/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Vision/Sofftshoe.Com,1
2018,5,05/07/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Nordstrom,1
2018,5,05/09/2018,Sofft,F,Belden,Black,1101331,M,080,Sh,Shoebuy.Com.Inc.,0
2018,5,05/09/2018,Sofft,F,Belden,Red,1101332,M,095,Sh,Dsw Inc. Dsw Drop Ship,1
2018,5,05/10/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,1
2018,5,05/10/2018,Sofft,F,Belden,Gold,1101335,M,085,Sh,Vision/Shoeline.Com,-1
2018,5,05/21/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Vision/Sofftshoe.Com,1
2018,5,05/22/2018,Sofft,F,Belden,Black,1101331,M,075,Sh,Nordstrom,-2
2018,5,05/22/2018,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,-1
2018,5,05/29/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Dsw Inc. Dsw Drop Ship,1
2018,6,06/07/2018,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,-1
2018,6,06/11/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Vision/Sofftshoe.Com,1
2018,6,06/27/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Vision/Sofftshoe.Com,-1
2018,6,06/27/2018,Sofft,F,Belden,Gold,1101335,M,085,Sh,Vision/Sofftshoe.Com,-1
2018,6,06/28/2018,Sofft,F,Belden,Gold,1101335,M,090,Sh,Designer Brands Inc.,142
2018,6,06/28/2018,Sofft,F,Belden,Red,1101332,M,090,Sh,Designer Brands Inc.,162
2018,6,06/29/2018,Sofft,F,Belden,Gold,1101335,M,100,Sh,Lansky Bros,1
2018,7,07/06/2018,Sofft,F,Belden,Black,1101331,M,110,Sh,Shoebuy.Com.Inc.,-1
2018,7,07/10/2018,Sofft,F,Belden,Red,1101332,M,110,Sh,Nordstrom,-1
2018,7,07/12/2018,Sofft,F,Belden,Red,1101332,M,070,Sh,Nordstrom,-1
2018,7,07/20/2018,Sofft,F,Belden,Black,1101331,M,075,Sh,Nordstrom,-1
2018,7,07/27/2018,Sofft,F,Belden,Black,1101331,M,070,Sh,Vision/Sofftshoe.Com,-1
2018,8,08/06/2018,Sofft,F,Belden,Gold,1101335,M,110,Sh,Rue La La,2
2018,8,08/06/2018,Sofft,F,Belden,Red,1101332,M,080,Sh,Rue La La,6
2018,12,12/27/2018,Sofft,F,Belden,Red,1101332,M,065,Sh,Marden's,1
2018,6,06/04/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Vision/Sofftshoe.Com,2
2018,6,06/06/2018,Sofft,F,Belden,Black,1101331,M,075,Sh,Shoebuy.Com.Inc.,1
2018,6,06/11/2018,Sofft,F,Belden,Black,1101331,M,090,Sh,Shoebuy.Com.Inc.,1
