Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2018,5,05/31/2018,Sofft,F,Barris,Wine,1108802,M,075,Sh,Nordstrom,-1
2018,6,06/05/2018,Sofft,F,Barris,Black,1108871,M,110,Sh,Vision/Sofftshoe.Com,1
2018,6,06/06/2018,Sofft,F,Barris,Smoke,1108891,M,070,Sh,Qvc Inc/Drop Ship,1
2018,6,06/06/2018,Sofft,F,Barris,Smoke,1108891,M,110,Sh,Nordstrom,-1
2018,6,06/12/2018,Sofft,F,Barris,Wine,1108802,M,085,Sh,Nordstrom,1
2018,6,06/19/2018,Sofft,F,Barris,Black,1108871,M,090,Sh,Qvc Inc/Drop Ship,-1
2018,6,06/19/2018,Sofft,F,Barris,Black,1108871,M,110,Sh,Qvc Inc/Drop Ship,-1
2018,6,06/19/2018,Sofft,F,Barris,Smoke,1108891,M,070,Sh,Qvc Inc/Drop Ship,-1
2018,6,06/28/2018,Sofft,F,Barris,Black,1108871,M,110,Sh,Designer Brands Inc.,65
2018,6,06/28/2018,Sofft,F,Barris,Wine,1108802,M,090,Sh,Designer Brands Inc.,131
2018,6,06/28/2018,Sofft,F,Barris,Wine,1108802,M,100,Sh,Designer Brands Inc.,83
2018,7,07/06/2018,Sofft,F,Barris,Smoke,1108891,M,070,Sh,Nordstrom,-1
2018,7,07/09/2018,Sofft,F,Barris,Black,1108871,M,090,Sh,Nordstrom,-2
2018,7,07/12/2018,Sofft,F,Barris,Smoke,1108891,M,075,Sh,Nordstrom,-1
2018,7,07/17/2018,Sofft,F,Barris,Black,1108871,M,085,Sh,Nordstrom,-2
2018,7,07/20/2018,Sofft,F,Barris,Black,1108871,M,080,Sh,Nordstrom,-1
2018,7,07/26/2018,Sofft,F,Barris,Smoke,1108891,M,090,Sh,Nordstrom,-1
2018,8,08/03/2018,Sofft,F,Barris,Black,1108871,M,100,Sh,Dsw Inc. Dsw Drop Ship,1
2018,8,08/07/2018,Sofft,F,Barris,Black,1108871,M,100,Sh,Nordstrom,3
2018,8,08/09/2018,Sofft,F,Barris,Black,1108871,M,065,Sh,6Pm,5
2018,8,08/09/2018,Sofft,F,Barris,Smoke,1108891,M,060,Sh,6Pm,2
2018,8,08/09/2018,Sofft,F,Barris,Wine,1108802,M,075,Sh,6Pm,4
2018,8,08/09/2018,Sofft,F,Barris,Wine,1108802,M,085,Sh,6Pm,3
2018,8,08/16/2018,Sofft,F,Barris,Black,1108871,M,090,Sh,Nordstrom,-1
2018,8,08/20/2018,Sofft,F,Barris,Black,1108871,M,080,Sh,Vision/Sofftshoe.Com,1
